rank,slug,source,n_jobs,top_titles,sample_description,industry,confidence
30,life-time-inc,linkedin,57,Accountant I | Summer Camp Supervisor | Personal Training Assistant Lead | Admissions Associate | Summer Camp Counselor,"Position Summary The Nail Technician Provides various manicure, pedicure, and nail services and treatments that improve the guests overall sense of well-being and enhances the club experience while living the mission, vision and core values of LifeSpa and Salon. They work with the entire LifeSpa and Salon team to provide a superior experience in a professional atmosphere. Job Duties And Responsibi",hospitality_food_service,low
42,quenchwater,lever,52,Bilingual Customer Care Representative | Bilingual Field Service Technician | Field Account Executive (Territory Manager) - Atlanta | Field Account Executive (Territory Manager) - New York City | Field Sales Account Executive,"About Culligan Quench Culligan Quench’s purpose is to impact people’s lives and improve the earth by helping to eliminate the 500 million plastic bottles consumed each year. We play a front-line role in the battle against single-use plastic water bottles by delivering on-demand filtered water solutions to more than 120,000 healthy and environmentally conscious customers across North America. Our b",consumer_brands,low
67,turfmasters,greenhouse,45,Customer Service Representative (Hybrid) - Aggieland Green | Customer Service Representative - One Two Tree | Customer Service Representative - Turf Masters Lawn Care | Customer Service Specialist - Lawn Tech | Field Manager - Brothers Pest,"Turf Masters is now hiring&nbsp; Technician II's in the Greenville, SC area. Turf Masters was founded in 2002 and currently has 10 locations throughout the Southeast. Servicing over 50,000 customers makes us one of the top competitors in the industry. We separate ourselves from our competition by providing a safe and rewarding work environment for our employees, rapid advancement opportunities, an",other,low
79,wr,lever,43,Adult Education Intern | Bilingual English/Spanish Immigration Legal Services Administrative Assistant -2 | Bilingual Spanish/English Front Administrative Assistant | Career Pathways and Student Transitions Manager | Community Engagement Coordinator - 2025665,"Are you a person of compassion? An advocate for justice? Someone who stands up for the rights of the vulnerable and speaks out for the marginalized, the exploited and the forgotten? Do you believe in our calling as Christians to welcome the least of these and love our neighbor? If you answered ‘yes’, to any of the above, World Relief, and millions of people around the world need you. At this pivot",nonprofit,low
86,jushico,lever,41,"Account Manager - Eastern, PA | Accounting Inventory Manager | Assistant General Manager | Assistant Manager | Co-General Manager","GET TO KNOW JUSHI We identify, evaluate, and acquire U.S.-based cannabis operations within each state to vertically integrate, produce, and distribute medical-grade cannabis formulations in the United States, offering patients and customers premium cannabis and related products. THE OPPORTUNITY The Manager, Treasury Operations will primarily be responsible for aspects of debt management, cash mana",other,low
94,clean-harbors,linkedin,39,Central Profile Representative | Sales and Service Route Class B Driver *5K SIGN ON BONUS* | Driver Class A | Field Service Technician I | Field Service Technician I *EMERGENCY RESPONSE*,"Job Description Clean Harbors in Salt Lake City, UT is seeking a Class A CDL Driver to operate a variety of heavy and light duty trucks/work equipment at our customer sites; some of the vehicles operated include vacuum trucks, Cuscos, guzzlers, and roll offs. This role is responsible for performing driving and non-driving duties on and off customer sites associated with hazardous waste clean-up. C",other,medium
107,cpisecurity,greenhouse,37,Charleston New Home Security Sales Representative | Charleston Residential Installation Technician | Charleston Residential Service Technician | Chief Revenue Officer | Collections Agent,"Summary: CPI Security, in Charlotte, NC, is looking to hire a full-time Product Owner located in office at our corporate headquarters. The Product Owner is responsible for &nbsp;maximizing the value delivered by the product development team by defining and prioritizing the product backlog. Acting as a bridge between stakeholders and the development team, the Product Owner ensures that the team del",other,medium
110,world4822stri986des,greenhouse,37,"Accounts Payable Associate | Airport Experience Coordinator: Chicago, IL (ORD) | Airport Experience Coordinator: DC, MD, & VA (DCA, BWI, & IAD) | Airport Experience Coordinator: Williamsburg & Richmond, VA (ORF & RIC) | Digital Experience Specialist","Company Introduction WorldStrides&nbsp;is the global leader in educational travel and experiential learning. The company was founded in 1967 to provide middle school travel programs to Washington, D.C. and has grown to provide a wide range of programs for more than half a million students annually to over 100 countries around the world. WorldStrides offers experiential learning programs in educati",transportation_logistics,low
162,lvs1,lever,30,Account Executive | Account Manager | Accounts Receivable Analyst | Analyste de support technique global - Analyste bilingue français | Application Support Analyst,"Long View. A career that helps you get more out of life. A Long View career helps you get more out of life. We don’t just say it, we prove it. Every day. We’re proud of our reputation as one of North America’s most dynamic IT providers — and we’re even prouder of our culture that allows our people to live life to its fullest. At Long View, we create an environment of collaboration and support, of ",tech_software_internet,low
180,rise,lever,28,Account Manager | Accounts Receivable Accountant | Associate Service Delivery Manager | Business Admin Intern | Business Administration Manager,"RISE is on a mission to accelerate internet for the Philippines by providing excellent services and high-quality support to our business and wholesale partners. We focus on the efficiency of connectivity through initiatives like GetaFIX and Open Access Network, ensuring we maintain a benchmark for reliability and installation speed. Our culture is built on transparency and ownership, where team me",other,low
204,nirvana-asia-group,jobstreet,26,Management Support Executive | Business Analyst | Central Procurement Internship (Mandarin Speaking) | Credit Admin & Recovery Executive (Fresh/Junior)- Mandarin Speaking | Admin Assistant (Mandarin Speaking),"[Category: Marketing & Communications / Event Management] Responsibility: Develop event concepts, themes and timelines. Source and negotiate with vendors to secure necessary services. Create and manage event budgets, ensuring cost-effectiveness and adherence to financial guidelines. Develop and manage event schedules and timelines. Oversee the work of various to ensure they meet quality and timeli",other,medium
205,plus-2,lever,26,"Class A Truck Driver | Director, Corporate & Securities Counsel | Director, SEC Reporting and Technical Accounting | Field Service Engineer | Functional Safety Manager","PlusAI is a Physical AI company pioneering AI-based virtual driver software for factory-built autonomous trucks. Headquartered in Silicon Valley with operations in the United States and Europe, Plus was named by Fast Company as one of the World’s Most Innovative Companies. Partners including TRATON GROUP’s Scania, MAN, and International brands, Hyundai Motor Company, Iveco Group, Bosch, and DSV ar",other,low
215,nory-co,ashby,25,"NYC Summer Camp Permits Coordinator | Studio Assistant (Manhattan, NYC) | Cleaning Professional | Materials Coordinator, Education Supply Chain | Customer Happiness Manager","About NORY: NORY is the premier STEM camp provider in NYC and Boston, enriching the learning journey of 4000+ children annually through immersive and hands-on learning experiences. Our mission is to nurture young risk-takers, problem solvers, and empathetic leaders. Discover more about our mission and program: Instagram: bit.ly/noryi Summer Camp Video: bit.ly/noryvideo1 Job Description: Our 9000+ ",other,low
225,crescent,greenhouse,24,Auto Line Machine Operator (2nd Shift) | Auto Machine Line Operator (3rd Shift) | Continuous Improvement Engineer | Forklift Operator (1st Shift) | Forklift Operator (3rd Shift),"Position Summary The Logistics Supervisor serves as a liaison between the GE Warehouse Leadership and the GE operation. The position is responsible for leading operational and/or support departments including all aspects of shipping and receiving, scheduling, inventory management, quality management. The Logistics Supervisor upholds all QMP’s and work instructions. Responsible for instilling and m",manufacturing,low
299,tilthq,ashby,23,"Staff Software Engineer, Backend | Lead IT Engineer, Cashalo | Agentic AI Lead (Business Transformation) | Senior Backend Engineer, NIRA | Senior Software Engineer, Backend","Join the Tilt team At Tilt, we see a side of people that traditional lenders miss. Our mobile-first products and machine learning-powered credit models look beyond credit scores, using over 250 real-time financial signals to recognize real potential. With millions of customers worldwide , we're not just changing how people access financial products — we're creating a new credit system that backs t",tech_software_internet,low
358,hilberts,ashby,22,"AI Growth Architect | Product Manager, Growth | Lead AI Engineer | AI Engineer - Core | Lead ML Engineer / Data Scientist","Hilbert is a scalable, data science-first growth infrastructure that gives B2C teams predictive clarity into user behavior, revenue drivers, and the actions that move sustainable growth. Fully agentic by design, Hilbert compresses months-long decision cycles into minutes. From Fortune 10 enterprises to beloved brands like FreshDirect, Blank Street, and Levain Bakery, operators run their growth on ",tech_software_internet,low
